nama_produk,harga,nama_toko,kota,terjual,rating
Mamafuji - Seblak Instan viral (DUTA SEBLAK APPROVED),Rp23.999,Mama Fuji Official,Tangerang,100+ terjual,4.7
Seblak instan / seblak instan BANDUNG / seblak instan pedas,Rp4.200,AZKIA RASA,Kab. Tasikmalaya,100+ terjual,5.0
Kylafood Seblak Original Play,Rp14.875Rp22.500,kylafood,Bandung,1rb+ terjual,4.9
Bakso Aci Instan Murah Asli Bandung Frozen Baso Cilok Kuah Kenyang,Rp5.702Rp9.000,Berkah Food Bandung,Cimahi,10rb+ terjual,4.9
siomay mini kering 1kg toping seblak baso aci,Rp25.999,CUANKI CULAMETAN,Kab. Garut,250+ terjual,4.9
Seblak Jadoel Sambel Hedjo Samiraos | Seblak Instan Pedas Murah,Rp18.500,Lemari Wanita,Jakarta Timur,4 terjual,5.0
Kylafood Seblak Rempah Autentik isi (5pcs),Rp61.275Rp64.500,kylafood,Bandung,250+ terjual,4.8
cuanki tahu kering seblak atau batagor kering isi 150 pcs,Rp34.999,CUANKI CULAMETAN,Kab. Garut,100+ terjual,4.8
SEBLAK BETON 1KG CIKRUH PEDAS DAUN JERUK BOS SNACK BANDUNG,Rp44.450Rp100.000,BOS SNACK BANDUNG,Bandung,1 terjual,
cuanki pangsit segitiga atau cipet isi 40 pcs toping seblak baso aci,Rp13.999,CUANKI CULAMETAN,Kab. Garut,100+ terjual,4.9
Kylafood Seblak Kwetiaw,Rp19.975Rp23.500,kylafood,Bandung,4rb+ terjual,4.9
Cuanki tahu bulat kering 50 pcs toping seblak baso aci,Rp17.999,CUANKI CULAMETAN,Kab. Garut,70+ terjual,4.9
Cabe bubuk special baso aci & seblak,Rp11.999,aghniya,Tangerang Selatan,250+ terjual,4.9
seblak / paket seblak bumbu komplit pedas ekonomis,Rp3.479,Grosir Putra Bdg,Kab. Bandung,750+ terjual,4.8
SEBLAK KERING CIKRUH BUMBU KACANG VARIAN CAMPUR KEMASAN 250 GRAM,Rp18.899,Simshop_,Cimahi,18 terjual,5.0
SAMBAL BUMBU SEBLAK / SEBLAK INSTAN / SEBLAK PRAKTIS / PEDAS GURIH,Rp3.500,Uai Food,Surabaya,70+ terjual,4.5
siomay mini kering 250 gram toping seblak baso aci,Rp7.999,CUANKI CULAMETAN,Kab. Garut,250+ terjual,4.9
Kylafood Seblak Mie Baso,Rp24.750Rp27.500,kylafood,Bandung,4rb+ terjual,4.9
CUANKI TAHU KERING isi 500pcs Topping SEBLAK Cuanki Baso Aci,Rp130.000,jajanangarut19,Jakarta Selatan,30+ terjual,3.4
Kylafood Seblak karuhun,Rp12.150Rp13.500,kylafood,Bandung,4rb+ terjual,4.8
seblak jadul Samiraos  sambel Hedjo,Rp18.750,Jajanan Hits (JS),Tangerang Selatan,12 terjual,5.0
Kylafood Mix Fav Selebgram Seblak Original & Batagor kuah,Rp42.500Rp50.000,kylafood,Bandung,100+ terjual,4.8
siomay mini kering / cuanki / batagor / seblak / bakso aci,Rp9.500,fahirastores,Kab. Bandung Barat,250+ terjual,4.9
Kylafood Seblak Mie Baso Sapi Play,Rp24.750Rp27.500,kylafood,Bandung,250+ terjual,4.9
Kylafood Seblak karuhun,Rp12.150Rp13.500,kylafood,Bandung,4rb+ terjual,4.8
Kerupuk seblak beton as kering cikruh bumbu organik pedas gurih,Rp16.750,kerudung bunga,Cimahi,6 terjual,
[ 500gr ] Kerupuk Seblak Bantet / Seblak Kencur Pedas Daun Jeruk -B,Rp19.950,Bara Snack Kediri 1,Kediri,12 terjual,5.0
Seblak Mommy,Rp13.900Rp15.000,Gerai Snack Official Shop,Kab. Tangerang,2rb+ terjual,4.6
Seblak ceker 2 putra kemasan gopean (500),Rp8.800,BAGEAJAYA FOOD,Kab.Ciamis,250+ terjual,5.0
Elod | Sebring Elod | keripik Elod | seblak kering,Rp29.500,This Story Shop,Kab. Bandung,100+ terjual,4.9
Kylafood Seblak Rempah Autentik isi (10pcs),Rp116.100Rp129.000,kylafood,Bandung,90+ terjual,4.9
BATAGOR Seblak 100gr Baso Tahu Goreng Siap Makan,Rp1.500,yohangunawan94,Bandung,100+ terjual,5.0
cuanki tahu gepeng isi 100 pcs toping seblak bsso aci,Rp39.999,CUANKI CULAMETAN,Kab. Garut,100+ terjual,4.9
Kylafood Seblak Mie Baso Sapi Play,Rp24.750Rp27.500,kylafood,Bandung,250+ terjual,4.9
siomay mini kering 250 gram toping seblak baso aci,Rp7.999,CUANKI CULAMETAN,Kab. Garut,250+ terjual,4.9
Kylafood Mix Pentol Kuah dan Seblak Original,Rp42.500Rp50.000,kylafood,Bandung,60+ terjual,4.9
Pasar Keripik Kerupuk Seblak Mawar Mini Pedas size Besar,Rp28.500,Pasar Keripik Bandung,Bandung,30+ terjual,5.0
Seblak instan komplit / seblak instan murah,Rp5.000Rp10.000,ismileusa_id,Kab. Bandung,100+ terjual,4.7
